SITE,COMMON_NAME,SPECIES,DIST_FT,DIST_M,DBH_IN,DBH_CM,CC,NORTHING,EASTING
S601,White Spruce,Picea glauca,11,3.3528,11.02362212,28,Co,464636,5262985
S601,White Spruce,Picea glauca,18.2,5.54736,9.251968565,23.5,Co,464636,5262985
S601,White Spruce,Picea glauca,10.7,3.26136,9.645669355,24.5,Co,464636,5262985
S601,White Spruce,Picea glauca,17.5,5.334,10.3149607,26.2,Co,464636,5262985
S601,White Spruce,Picea glauca,22.6,6.88848,9.566929197,24.3,Co,464636,5262985
S601,White Spruce,Picea glauca,15.2,4.63296,6.732283509,17.1,Co,464636,5262985
S601,White Spruce,Picea glauca,9.3,2.83464,7.48031501,19,Co,464636,5262985
S601,White Spruce,Picea glauca,19.6,5.97408,6.771653588,17.2,Int,464636,5262985
S601,White Spruce,Picea glauca,6.6,2.01168,9.05511817,23,Co,464636,5262985
S601,White Spruce,Picea glauca,23.5,7.1628,11.22047252,28.5,Co,464636,5262985
S601,White Spruce,Picea glauca,3.2,0.97536,6.29921264,16,Co,464636,5262985
S601,White Spruce,Picea glauca,5.7,1.73736,10.27559062,26.1,Co,464636,5262985
S601,White Spruce,Picea glauca,2.333,0.7110984,8.700787459,22.1,Co,464636,5262985
S601,White Spruce,Picea glauca,12,3.6576,9.566929197,24.3,Co,464636,5262985
S601,White Spruce,Picea glauca,26.417,8.0519016,3.897637821,9.9,Sup,464636,5262985
S601,White Spruce,Picea glauca,25.583,7.7976984,5.51181106,14,Sup,464636,5262985
S601,White Spruce,Picea glauca,24.667,7.5185016,6.929133904,17.6,Sup,464636,5262985
S601,White Spruce,Picea glauca,26.417,8.0519016,8.818897696,22.4,Co,464636,5262985
S601,Quaking Aspen,Populus tremuloides,23.167,7.0613016,10.70866149,27.2,Co,464636,5262985
S601,Quaking Aspen,Populus tremuloides,23.333,7.1118984,4.291338611,10.9,Int,464636,5262985
S601,Quaking Aspen,Populus tremuloides,20.583,6.2736984,9.921259908,25.2,Co,464636,5262985
S602,White Spruce,Picea glauca,7.872,2.3993856,7.519685089,19.1,Co,464586,5262973
S602,White Spruce,Picea glauca,16.1376,4.91874048,8.503937064,21.6,Co,464586,5262973
S602,White Spruce,Picea glauca,12.2344,3.72904512,8.26771659,21,Co,464586,5262973
S602,White Spruce,Picea glauca,26.076,7.9479648,6.535433114,16.6,Sup,464586,5262973
S602,White Spruce,Picea glauca,22.7304,6.92822592,8.976378012,22.8,Co,464586,5262973
S602,White Spruce,Picea glauca,18.0072,5.48859456,12.12598433,30.8,Dom,464586,5262973
S602,White Spruce,Picea glauca,15.8096,4.81876608,6.889763825,17.5,Co,464586,5262973
S602,White Spruce,Picea glauca,22.796,6.9482208,7.283464615,18.5,Co,464586,5262973
S602,White Spruce,Picea glauca,26.0432,7.93796736,8.937007933,22.7,Co,464586,5262973
S602,White Spruce,Picea glauca,25.7152,7.83799296,11.25984259,28.6,Co,464586,5262973
S602,White Spruce,Picea glauca,20.3032,6.18841536,6.850393746,17.4,Co,464586,5262973
S602,White Spruce,Picea glauca,12.8576,3.91899648,8.346456748,21.2,Co,464586,5262973
S602,White Spruce,Picea glauca,23.1896,7.06819008,11.73228354,29.8,Co,464586,5262973
S602,White Spruce,Picea glauca,16.8592,5.13868416,7.834645721,19.9,Co,464586,5262973
S602,White Spruce,Picea glauca,15.58,4.748784,9.645669355,24.5,Dom,464586,5262973
S602,White Spruce,Picea glauca,22.8944,6.97821312,7.08661422,18,Co,464586,5262973
S602,Paper Birch,Betula papyrifera,24.4688,7.45809024,4.842519717,12.3,Co,464586,5262973
S602,Paper Birch,Betula papyrifera,10.004,3.0492192,6.141732324,15.6,Co,464586,5262973
S602,Quaking Aspen,Populus tremuloides,19.4832,5.93847936,8.188976432,20.8,Co,464586,5262973
S602,Quaking Aspen,Populus tremuloides,11.152,3.3991296,9.960629987,25.3,Dom,464586,5262973
S602,Balsam Fir,Abies balsamea,6.9208,2.10945984,7.283464615,18.5,Co,464586,5262973
S602,Red Maple,Acer rubrum,12.5624,3.82901952,7.992126037,20.3,Co,464586,5262973
S603,White Spruce,Picea glauca,1.64,0.499872,8.228346511,20.9,Co,464521,5262976
S603,White Spruce,Picea glauca,16.9904,5.17867392,6.614173272,16.8,Co,464521,5262976
S603,White Spruce,Picea glauca,17.7776,5.41861248,4.803149638,12.2,Co,464521,5262976
S603,White Spruce,Picea glauca,12.3656,3.76903488,8.897637854,22.6,Co,464521,5262976
S603,White Spruce,Picea glauca,5.4776,1.66957248,6.653543351,16.9,Co,464521,5262976
S603,White Spruce,Picea glauca,22.8944,6.97821312,8.070866195,20.5,Co,464521,5262976
S603,White Spruce,Picea glauca,12.3984,3.77903232,9.488189039,24.1,Co,464521,5262976
S603,White Spruce,Picea glauca,18.04,5.498592,6.929133904,17.6,Co,464521,5262976
S603,White Spruce,Picea glauca,25.4856,7.76801088,10.1181103,25.7,Co,464521,5262976
S603,White Spruce,Picea glauca,21.812,6.6482976,8.700787459,22.1,Co,464521,5262976
S603,White Spruce,Picea glauca,24.764,7.5480672,6.811023667,17.3,Sup,464521,5262976
S603,White Spruce,Picea glauca,14.6288,4.45885824,4.33070869,11,Co,464521,5262976
S603,White Spruce,Picea glauca,14.5304,4.42886592,10.98425204,27.9,Co,464521,5262976
S603,White Spruce,Picea glauca,10.5616,3.21917568,10.03937015,25.5,Co,464521,5262976
S603,White Spruce,Picea glauca,15.744,4.7987712,10.55118117,26.8,Co,464521,5262976
S603,White Spruce,Picea glauca,11.48,3.499104,5.472440981,13.9,Int,464521,5262976
S603,Balsam Fir,Abies balsamea,9.6104,2.92924992,7.795275642,19.8,Co,464521,5262976
S603,Quaking Aspen,Populus tremuloides,23.4192,7.13817216,12.16535441,30.9,Dom,464521,5262976
S603,Quaking Aspen,Populus tremuloides,16.8592,5.13868416,10.1181103,25.7,Dom,464521,5262976
S603,Quaking Aspen,Populus tremuloides,28.2408,8.60779584,3.779527584,9.6,Int,464521,5262976
S603,Quaking Aspen,Populus tremuloides,7.38,2.249424,4.921259875,12.5,Co,464521,5262976
S611,Black Spruce,Picea mariana,12.3,3.74904,11.0629922,28.1,Co,464635,5263028
S611,White Spruce,Picea glauca,15.4,4.69392,7.125984299,18.1,Int,464635,5263028
S611,White Spruce,Picea glauca,25.5,7.7724,5.866141771,14.9,Co,464635,5263028
S611,White Spruce,Picea glauca,8.6,2.62128,4.094488216,10.4,Int,464635,5263028
S611,White Spruce,Picea glauca,22.6,6.88848,6.29921264,16,Co,464635,5263028
S611,White Spruce,Picea glauca,13.7,4.17576,8.818897696,22.4,Co,464635,5263028
S611,White Spruce,Picea glauca,25.5,7.7724,9.212598486,23.4,Co,464635,5263028
S611,White Spruce,Picea glauca,16.4,4.99872,7.952755958,20.2,Co,464635,5263028
S611,White Spruce,Picea glauca,9.5,2.8956,4.33070869,11,Int,464635,5263028
S611,White Spruce,Picea glauca,24.6,7.49808,7.834645721,19.9,Co,464635,5263028
S611,White Spruce,Picea glauca,23.1,7.04088,6.614173272,16.8,Int,464635,5263028
S611,White Spruce,Picea glauca,11.1,3.38328,4.33070869,11,Int,464635,5263028
S611,White Spruce,Picea glauca,4.8,1.46304,5.314960665,13.5,Int,464635,5263028
S611,White Spruce,Picea glauca,25,7.62,10.23622054,26,Co,464635,5263028
S611,White Spruce,Picea glauca,22.5,6.858,9.84251975,25,Co,464635,5263028
S611,White Spruce,Picea glauca,26,7.9248,7.598425247,19.3,Co,464635,5263028
S611,White Spruce,Picea glauca,6.2,1.88976,4.33070869,11,Co,464635,5263028
S611,Paper Birch,Betula papyrifera,19.8,6.03504,4.448818927,11.3,Int,464635,5263028
S611,Paper Birch,Betula papyrifera,18,5.4864,6.69291343,17,Co,464635,5263028
S611,Paper Birch,Betula papyrifera,11.7,3.56616,5.393700823,13.7,Co,464635,5263028
S611,Quaking Aspen,Populus tremuloides,2.7,0.82296,9.921259908,25.2,Co,464635,5263028
S611,Quaking Aspen,Populus tremuloides,13,3.9624,3.976377979,10.1,Co,464635,5263028
S611,Bigtooth Aspen,Populus grandidentata,9,2.7432,6.062992166,15.4,Co,464635,5263028
S612,Black Spruce,Picea mariana,13.167,4.0133016,8.779527617,22.3,Dom,464572,5263034
