"","LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk","Reference","Comment","StdValueStr","V29"
"1","Mencuccini","Maurizio",199,"Whole Plant Hydraulic Conductance","Acer rubrum",859,"Acer rubrum",1415138,10322404,21,"Stem diameter",24,"Stem diameter at breast height (1.3 m, DBH)","Stem diameter","6.69147263504184","cm","Single",NA,"",NA,0.0669147263504184,"m",NA,29310125,0.662328,"MENCUCCINI M., 2003. The ecological significance of long distance water transport: short-term regulation and long-term acclimation across plant growth forms. Plant, Cell and Environment, 26:163-182.","","",NA
"2","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",859,"Acer rubrum",1650540,11168133,21,"Stem diameter",1908,"Stem diameter at base (basal diameter)","Stem Diameter at base","1","mm","Single",NA,"",NA,0.001,"m",NA,NA,4.85163,"Von Holle, B. and D. Simberloff. 2004. Testing Fox's assembly rule:  Does plant invasion depend on recipient community structure? Oikos 105:551-563.","Stem diameter: measured at ground level, using calipers. For grasses, the entire clump of leaves was measured, rather than a single culm.","",NA
"3","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",859,"Acer rubrum",1650547,11168210,325,"Crown (canopy) width",819,"Canopy width; crown width (diameter perpendicular to first axis)","Canopy Width","1.9","cm","Single",NA,"",NA,0.019,"m",NA,NA,5.8751,"Von Holle, B. and D. Simberloff. 2004. Testing Fox's assembly rule:  Does plant invasion depend on recipient community structure? Oikos 105:551-563.","Canopy width: measured with a ruler, perpendicular to the length and parallel to the ground.","",NA
"4","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",859,"Acer rubrum",1650635,11169118,21,"Stem diameter",1908,"Stem diameter at base (basal diameter)","Stem Diameter at base","1.1","mm","Single",NA,"",NA,0.0011,"m",NA,NA,4.70264,"Von Holle, B. and D. Simberloff. 2004. Testing Fox's assembly rule:  Does plant invasion depend on recipient community structure? Oikos 105:551-563.","Stem diameter: measured at ground level, using calipers. For grasses, the entire clump of leaves was measured, rather than a single culm.","",NA
"5","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",859,"Acer rubrum",1650645,11169224,325,"Crown (canopy) width",819,"Canopy width; crown width (diameter perpendicular to first axis)","Canopy Width","3.5","cm","Single",NA,"",NA,0.035,"m",NA,NA,5.16737,"Von Holle, B. and D. Simberloff. 2004. Testing Fox's assembly rule:  Does plant invasion depend on recipient community structure? Oikos 105:551-563.","Canopy width: measured with a ruler, perpendicular to the length and parallel to the ground.","",NA
"6","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",859,"Acer rubrum",1650652,11169299,21,"Stem diameter",1908,"Stem diameter at base (basal diameter)","Stem Diameter at base","0.9","mm","Single",NA,"",NA,9e-04,"m",NA,11168207,5.01634,"Von Holle, B. and D. Simberloff. 2004. Testing Fox's assembly rule:  Does plant invasion depend on recipient community structure? Oikos 105:551-563.","Stem diameter: measured at ground level, using calipers. For grasses, the entire clump of leaves was measured, rather than a single culm.","",NA
"7","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",859,"Acer rubrum",1650679,11169579,325,"Crown (canopy) width",819,"Canopy width; crown width (diameter perpendicular to first axis)","Canopy Width","1.7","cm","Single",NA,"",NA,0.017,"m",NA,NA,6.00396,"Von Holle, B. and D. Simberloff. 2004. Testing Fox's assembly rule:  Does plant invasion depend on recipient community structure? Oikos 105:551-563.","Canopy width: measured with a ruler, perpendicular to the length and parallel to the ground.","",NA
"8","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",859,"Acer rubrum",1650688,11169673,21,"Stem diameter",1908,"Stem diameter at base (basal diameter)","Stem Diameter at base","0.9","mm","Single",NA,"",NA,9e-04,"m",NA,11168207,5.01634,"Von Holle, B. and D. Simberloff. 2004. Testing Fox's assembly rule:  Does plant invasion depend on recipient community structure? Oikos 105:551-563.","Stem diameter: measured at ground level, using calipers. For grasses, the entire clump of leaves was measured, rather than a single culm.","",NA
"9","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",859,"Acer rubrum",1650700,11169805,325,"Crown (canopy) width",819,"Canopy width; crown width (diameter perpendicular to first axis)","Canopy Width","2.3","cm","Single",NA,"",NA,0.023,"m",NA,11168224,5.65377,"Von Holle, B. and D. Simberloff. 2004. Testing Fox's assembly rule:  Does plant invasion depend on recipient community structure? Oikos 105:551-563.","Canopy width: measured with a ruler, perpendicular to the length and parallel to the ground.","",NA
"10","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",859,"Acer rubrum",1650724,11170064,21,"Stem diameter",1908,"Stem diameter at base (basal diameter)","Stem Diameter at base","0.8","mm","Single",NA,"",NA,8e-04,"m",NA,11168119,5.20047,"Von Holle, B. and D. Simberloff. 2004. Testing Fox's assembly rule:  Does plant invasion depend on recipient community structure? Oikos 105:551-563.","Stem diameter: measured at ground level, using calipers. For grasses, the entire clump of leaves was measured, rather than a single culm.","",NA
"11","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",859,"Acer rubrum",1650732,11170153,325,"Crown (canopy) width",819,"Canopy width; crown width (diameter perpendicular to first axis)","Canopy Width","3","cm","Single",NA,"",NA,0.03,"m",NA,NA,5.34595,"Von Holle, B. and D. Simberloff. 2004. Testing Fox's assembly rule:  Does plant invasion depend on recipient community structure? Oikos 105:551-563.","Canopy width: measured with a ruler, perpendicular to the length and parallel to the ground.","",NA
"12","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",859,"Acer rubrum",1650738,11170222,21,"Stem diameter",1908,"Stem diameter at base (basal diameter)","Stem Diameter at base","0.9","mm","Single",NA,"",NA,9e-04,"m",NA,11168207,5.01634,"Von Holle, B. and D. Simberloff. 2004. Testing Fox's assembly rule:  Does plant invasion depend on recipient community structure? Oikos 105:551-563.","Stem diameter: measured at ground level, using calipers. For grasses, the entire clump of leaves was measured, rather than a single culm.","",NA
"13","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",859,"Acer rubrum",1650766,11170518,325,"Crown (canopy) width",819,"Canopy width; crown width (diameter perpendicular to first axis)","Canopy Width","2","cm","Single",NA,"",NA,0.02,"m",NA,NA,5.81568,"Von Holle, B. and D. Simberloff. 2004. Testing Fox's assembly rule:  Does plant invasion depend on recipient community structure? Oikos 105:551-563.","Canopy width: measured with a ruler, perpendicular to the length and parallel to the ground.","",NA
