stakes,northing,easting,zones,aspect,slope,watershed,SYear,maxDepth,lai5ring,avgDist_m,avgDBH_cm,sdDist_m,sdDBH_cm,nTrees,basalArea_m2,nCo,nDom,nInt,nSup,pCon
S200,464819.0,5262240.0,Upland,193.3626,6.632267,S2,2023,70.0,0.3807094494836223,5.35432,20.98333333333333,1.290039969613345,7.624700689604846,12,4.6518546625,7,2,3,0,0.0
S200,464819.0,5262240.0,Upland,193.3626,6.632267,S2,2024,22.0,0.3807094494836223,5.35432,20.98333333333333,1.290039969613345,7.624700689604846,12,4.6518546625,7,2,3,0,0.0
S201,464819.0,5262292.0,Upland,115.0966,3.120716,S2,2023,59.0,0.4038039646843095,4.4805600000000005,24.21666666666667,1.6041523962223423,11.569546739812491,18,10.07759428875,9,3,6,0,0.1111111111111111
S201,464819.0,5262292.0,Upland,115.0966,3.120716,S2,2024,18.0,0.4038039646843095,4.4805600000000005,24.21666666666667,1.6041523962223423,11.569546739812491,18,10.07759428875,9,3,6,0,0.1111111111111111
S203,464819.0,5262396.0,Upland,135.0012,7.45287,S2,2023,49.0,1.3737736031131726,5.02539,14.54375,1.8418891919765423,3.98463193616006,16,2.84501308375,11,3,2,0,0.4375
S203,464819.0,5262396.0,Upland,135.0012,7.45287,S2,2024,12.0,1.3737736031131726,5.02539,14.54375,1.8418891919765423,3.98463193616006,16,2.84501308375,11,3,2,0,0.4375
S204,464819.0,5262448.0,Upland,254.4066,9.503919,S2,2023,36.0,1.7509840180577307,5.486400000000001,19.135,1.7869321143056451,5.055302062920516,20,6.13262424875,16,0,4,0,0.65
S204,464819.0,5262448.0,Upland,254.4066,9.503919,S2,2024,17.0,1.7509840180577307,5.486400000000001,19.135,1.7869321143056451,5.055302062920516,20,6.13262424875,16,0,4,0,0.65
S205,464819.0,5262500.0,Upland,355.2919,3.051387,S2,2023,62.0,0.7784483223843466,5.614851428571429,23.85,1.51422341482794,14.286612883826162,14,8.338255691250001,3,4,4,3,0.1428571428571428
S205,464819.0,5262500.0,Upland,355.2919,3.051387,S2,2024,20.0,0.7784483223843466,5.614851428571429,23.85,1.51422341482794,14.286612883826162,14,8.338255691250001,3,4,4,3,0.1428571428571428
S211,464744.8,5262292.0,Lagg,332.3497,0.84887,S2,2023,64.0,1.086375191726843,4.615542857142858,17.685714285714287,1.1110029186537462,5.383440217131475,7,1.8561395675,4,1,2,0,0.8571428571428571
S211,464744.8,5262292.0,Lagg,332.3497,0.84887,S2,2024,18.0,1.086375191726843,4.615542857142858,17.685714285714287,1.1110029186537462,5.383440217131475,7,1.8561395675,4,1,2,0,0.8571428571428571
S212,464744.8,5262344.0,Lagg,291.1621,2.37949,S2,2023,58.0,1.5149067515618166,4.89966,17.053571428571427,1.933670265031416,10.960652932121,28,8.94286878125,12,2,13,1,0.6785714285714286
S212,464744.8,5262344.0,Lagg,291.1621,2.37949,S2,2024,16.0,1.5149067515618166,4.89966,17.053571428571427,1.933670265031416,10.960652932121,28,8.94286878125,12,2,13,1,0.6785714285714286
S213,464744.8,5262396.0,Bog,120.0787,0.78623,S2,2023,78.0,1.7920409339700636,5.832763636363636,15.21818181818182,2.095830719687412,2.2577945795922982,11,2.0407969375,8,1,2,0,1.0
S213,464744.8,5262396.0,Bog,120.0787,0.78623,S2,2024,20.0,1.7920409339700636,5.832763636363636,15.21818181818182,2.095830719687412,2.2577945795922982,11,2.0407969375,8,1,2,0,1.0
S215,464744.8,5262500.0,Upland,201.5048,1.26977,S2,2023,76.0,0.008631149028106,4.378960000000001,22.83333333333333,1.434935902122461,10.576073625563192,3,1.40408557125,2,0,1,0,0.3333333333333333
S215,464744.8,5262500.0,Upland,201.5048,1.26977,S2,2024,21.0,0.008631149028106,4.378960000000001,22.83333333333333,1.434935902122461,10.576073625563192,3,1.40408557125,2,0,1,0,0.3333333333333333
S220,464670.6,5262240.0,Upland,252.4753,2.85169,S2,2023,68.0,0.2164817858342909,4.65582,27.275,2.6091892250056747,14.241262985724669,8,5.7890776625,2,2,3,1,0.0
S220,464670.6,5262240.0,Upland,252.4753,2.85169,S2,2024,18.0,0.2164817858342909,4.65582,27.275,2.6091892250056747,14.241262985724669,8,5.7890776625,2,2,3,1,0.0
S221,464670.6,5262292.0,Bog,200.2377,0.72501,S2,2023,56.0,1.7124931593899186,4.0386,12.014285714285714,1.952431917095269,2.102327334118125,14,1.6322134475,11,0,2,1,0.2857142857142857
S221,464670.6,5262292.0,Bog,200.2377,0.72501,S2,2024,18.0,1.7124931593899186,4.0386,12.014285714285714,1.952431917095269,2.102327334118125,14,1.6322134475,11,0,2,1,0.2857142857142857
S222,464670.6,5262344.0,Bog,279.4718,0.43563,S2,2023,63.0,1.679134415211148,4.888523076923077,17.56923076923077,1.4251118654067396,5.241562205962489,13,3.4104909375,9,0,0,4,1.0
S222,464670.6,5262344.0,Bog,279.4718,0.43563,S2,2024,20.0,1.679134415211148,4.888523076923077,17.56923076923077,1.4251118654067396,5.241562205962489,13,3.4104909375,9,0,0,4,1.0
S223,464670.6,5262396.0,Bog,174.7998,0.39548,S2,2023,69.0,1.155658737328905,5.06984,15.485714285714286,1.799464788163414,2.881715758759998,21,4.085552165,19,0,2,0,1.0
S223,464670.6,5262396.0,Bog,174.7998,0.39548,S2,2024,25.0,1.155658737328905,5.06984,15.485714285714286,1.799464788163414,2.881715758759998,21,4.085552165,19,0,2,0,1.0
S224,464670.6,5262448.0,Lagg,187.7631,3.17706,S2,2023,64.0,1.1915835387521956,4.494627692307692,13.315384615384616,2.3965310801175166,5.114822602633473,13,2.05676361125,11,0,2,0,0.5384615384615384
S224,464670.6,5262448.0,Lagg,187.7631,3.17706,S2,2024,20.0,1.1915835387521956,4.494627692307692,13.315384615384616,2.3965310801175166,5.114822602633473,13,2.05676361125,11,0,2,0,0.5384615384615384
S225,464670.6,5262500.0,Lagg,58.388,1.09319,S2,2023,61.0,0.8246373527857209,4.2793920000000005,18.5,2.7280536520237284,2.0099751242241783,5,1.3566646287500002,0,5,0,0,1.0
S225,464670.6,5262500.0,Lagg,58.388,1.09319,S2,2024,17.0,0.8246373527857209,4.2793920000000005,18.5,2.7280536520237284,2.0099751242241783,5,1.3566646287500002,0,5,0,0,1.0
S226,464670.6,5262552.0,Upland,275.0663,2.38778,S2,2023,59.0,0.1266697822760628,4.0386,23.29,1.8681833820050964,5.946511582432175,10,4.51000808375,7,1,1,1,0.0
S226,464670.6,5262552.0,Upland,275.0663,2.38778,S2,2024,16.0,0.1266697822760628,4.0386,23.29,1.8681833820050964,5.946511582432175,10,4.51000808375,7,1,1,1,0.0
S232,464596.4,5262344.0,Lagg,25.94226,14.422,S2,2023,66.0,0.6758060326035144,5.468982857142858,29.5,2.129885255983792,12.759963427324807,7,5.551540993750001,4,0,3,0,0.4285714285714285
S232,464596.4,5262344.0,Lagg,25.94226,14.422,S2,2024,20.0,0.6758060326035144,5.468982857142858,29.5,2.129885255983792,12.759963427324807,7,5.551540993750001,4,0,3,0,0.4285714285714285
S233,464596.4,5262396.0,Bog,113.9634,0.70519,S2,2023,68.0,1.3455469734234438,5.950131428571429,17.228571428571428,1.9482704847390917,3.988527503772745,14,3.4260727775,9,2,2,1,0.9285714285714286
S233,464596.4,5262396.0,Bog,113.9634,0.70519,S2,2024,21.0,1.3455469734234438,5.950131428571429,17.228571428571428,1.9482704847390917,3.988527503772745,14,3.4260727775,9,2,2,1,0.9285714285714286
S234,464596.4,5262448.0,Bog,180.0,0.28632,S2,2023,70.0,0.7425235209610552,5.815818461538462,13.842307692307692,1.5138472908446012,2.5729629732156,26,4.04260000625,20,0,6,0,1.0
S234,464596.4,5262448.0,Bog,180.0,0.28632,S2,2024,15.0,0.7425235209610552,5.815818461538462,13.842307692307692,1.5138472908446012,2.5729629732156,26,4.04260000625,20,0,6,0,1.0
S235,464596.4,5262500.0,Lagg,105.2713,0.40827,S2,2023,75.0,0.3986718501952679,4.23672,14.26,0.865599802218092,3.198906063015918,5,0.83066757625,2,2,1,0,1.0
